,this_section_number,film_title,film_director,film_year,film_running_time,text_section,choose_section,option_text_1,option_text_2,option_text_3,section_number_1,section_number_2,section_number_3,wiki_link,imdb_link,tvtropes_link
80,81,The Great Ecstasy of the Woodcarver Steiner,Werner Herzog,1974,45,"[""TITLE: The Great Ecstasy of the Woodcarver Steiner"", ""TEXT PLACEHOLDER 081"", ""<P>"", ""You're not a fan of ski-flying or ski-jumping or ski-running or any outdoor winter sports, to be perfectly honest. This is probably a perfectly fine Werner Herzog documentary. You're surprised the concentration on wood-carving isn't greater. It's almost a blink-and-you-miss-it sort of thing. From then on it seems a straight up over-directed German sports documentary which was apparently shot for television. There are some dramatic mid-air shots of a guy on skis and a lot of fussing over how many inches or seconds or whatever he made it versus the existing record, the safety of the course, et cetera. Your eyes glaze over a bit as thee minutiae are discussed."", ""<P>"", ""Your strongest association with seeing someone on skis repeatedly is the \""agony of defeat\"" section on the opening credits of the television show <I>Wide World of Sports</I> in which a ski jumper crashes out in a dramatic manner. You had to watch this show repeatedly on Saturday afternoons when you were a kid and were dragged around to you mother's boyfriend's house. It marked the End of Cartoons and the point at which you lost any control of the television and were banished to \""go play outside\"" or whatever, well out of earshot of grown-ups since children were not to be seen or heard."", ""<P>"", ""You were just young enough still to be enjoying cartoons but not so young that you would find going outdoors by yourself in the middle of the woods very stimulating. You were at just the right age to find going out in the woods by yourself frightening and unpleasant. There was plenty to look at, of course. You could stare at trees. You could stand on a rusty pontoon and stare at a scum-covered lake allegedly full of water moccasins. You could try to untangle fishing line from the half-broken fishing poles on the pontoon. You could check one of the outdoor dogs running around for ticks and fleas. You could pick up sticks and break them against other sticks. You could walk around getting muddy. There weren't any other children around to play games with or anything. Sometimes your mom's boyfriend's son, who was several years older than you, might amuse himself by bullying you. He seemed to like picking you up by the throat and choking you and calling you a little faggot, but you enjoyed this much less than he did."", ""<P>"", ""At night the woods were dark and full of terrors. They looked like a photo-negative version of what they looked like during the day. In the year of the cicadas they were full of deafening and ominous creaking sounds, louder than the frogs and the crickets, and at the height you found yourself walking ankle deep amongst a bunch of discarded cicada exoskeletons. Your entire world was crawling with dead insects. You'd scurry inside and listen to your walkman with your three rotating cassette tapes and try to be neither seen nor heard.""]",Time to choose something different:,Are there any conspiracy theories about ski jumpers?,I hate winter sports. I'd rather find a way to have adventures in front of my computer screen!,Even bowling is more exciting than skiing!,181,72,3,https://en.wikipedia.org/wiki/The_Great_Ecstasy_of_Woodcarver_Steiner,https://www.imdb.com/title/tt0070136/,NONE
81,82,Invincible,Werner Herzog,2001,135,"[""TITLE: Invincible"", ""TEXT PLACEHOLDER 082"", ""<P>"", ""This is a Herzog film about a Jewish strongman during the run-up to WWII. Tim Roth plays a sketchy hypnotist, who hires the main character as a sort of circus performer to wear a blond wig and pretend to be a great Aryan superman, but drama ensues when he insists on playing actual legendary Jewish strongman Samson instead. His size and strength makes him a source of amusement for the Nazis and also provides him some protection. There's a romantic subplot, he has a little brother who acts as his moral conscience, et cetera. It's actually a weirdly enjoyable movie that disappeared down the memory hole for a lot of people."", ""<P>"", ""You were never especially strong or athletic in grade school. You were an only child raised by a single mother, so you never were good at sports. You were pretty bookish and liked to read and write. Go figure. This worked just fine for you until you hit middle school, which was a bit like being thrown into General Population in a prison. Suddenly you found yourself in a different world. You went to the Wrong School for teachers to believe you were smart, so you weren't tracked into gifted classes despite having straight A's and high test scores. So you got to be a nerdy pussy around a bunch of much bigger and older and rougher kids who bullied the shit out of you. And suddenly you found yourself in survival mode."", ""<P>"", ""Gym class of course was particularly horrifying. The older, bigger kids--who behaved particularly badly in groups--really liked bullying the smaller younger kids, especially when they would take their clothes off and try to clean up after class. You learned pretty quickly that actually trying to take a shower in the curtainless communal showers they had was a no-go if you were not actually an athlete of some sort. Merely changing from your street clothes to your gym clothes and back was pretty harrowing. The bullies would often choose someone to pick on during this vulnerable time. At best the kid would be stripped fully naked, his underclothes thrown in the shower to get wet, and he'd get slapped around and spanked. At worst they'd also twist his nipples or grab his dick and balls or give him a spanking (or worse) until he cried like a baby, to everyone's great amusement. The harder he helplessly fought this, the funnier it would be. The gym teachers, of course, turned a blind eye to all these shenanigans. Good clean hazing fun."", ""<P>"", ""You had your turn in the barrel a few times, mostly just getting stripped and slapped around and getting your clothes wet, until you discovered some coping mechanisms. You ended up deliberately making friends with a much larger, dumber kid who was not someone you'd normally talk to but was at least not one of the bullies. He'd failed classes and was held back and he wasn't the sharpest tool in the shed, but at least he had a sense of humor. You'd try to stick close to him since he was big enough for them not to fuck with, and he'd usually try to stop them from fucking with you too."", ""<P>"", ""You also started carrying a weapon of sorts to school. You were afraid to bring an actual knife for fear of being expelled or worse, although you fell back on this a few times when things looked dicey. You finally settled on bringing in a metal comb, a Hartz flea comb with a hard plastic handle, designed for combing vermin off of dogs. The logo wasn't so noticeable that you'd be mocked for it, and the teachers thought nothing of it. Whenever it was time to change from your pants to your gym shorts, you would find that a convenient time to put your back against the lockers and \""comb your hair\"" so it was in your hand while you were at your most vulnerable. This cut down dramatically on the number of times you got physically fucked with in the locker room at least. It also gave you a bit of protection on the bus home, which you had to share with actual high school kids, some of whom would regularly carry switchblades which they would sit and flick open and closed out of boredom."", ""<P>"", ""During this time you suddenly became depressed and moody, much to the puzzlement of your parents, who had trouble believing that school had gotten <I>that</I> much worse since their own school days and not reflecting that their social circumstances (e.g. having older siblings or going to a smaller school at the time) might be different from your own. After some further bullying incidents outside of school during the summer, something in you snapped a bit and you resolved to make things change. You started working out pretty aggressively around the time you were hitting puberty, doing push-ups and working out with dumbbells every day three times a day. You lifted weights whenever you could get into the gym. By the end of eighth grade you ended up putting on a good deal of muscle mass along with your growth spurt. Aside from being quite strong, you still weren't very athletic, and some of your classmates who previously had bullied you were disappointed you didn't want to be on the football team with you."", ""<P>"", ""By the time you graduated, you ended up being quite a bit larger from some of the kids who had bullied you in middle school. One guy in particular who had been one of the milder bullies barely recognized you when you ran into him at a gas station, remarking that \""You look like you kick people's asses for a living.\"" You took this as a compliment coming from him."", ""<P>"", ""Years later you're not in quite as good form as you were when you graduated. But you're glad you've at least retained some of the muscle, and you try to work out when you can to keep it. You don't talk much about being bullied in school. You've found that for some reason people still find the thought of a bigger person being pushed around as a kid <I>extremely</I> amusing, especially if they learn there was some horrifying sexual aspect to it. So it's best not to bring up.""]",Time to choose something different:,You don't have to be strong to swindle war widows out of their pensions!,I love feats of strength. Got anything with arm-wrestling in it?,So what happens if you don't have a brawny older brother to stop people from bullying you?,199,74,129,https://en.wikipedia.org/wiki/Invincible_(2001_theatrical_film),https://www.imdb.com/title/tt0245171/,NONE
82,83,Herdsmen of the Sun,Werner Herzog,1989,52,"[""TITLE: Herdsmen of the Sun"", ""TEXT PLACEHOLDER 083"", ""<P>"", ""This is a Herzog documentary that you assume you're going to hate, but which ends up being both grotesque and charming. It deals with some of the rituals of an African tribe, and the highlight is a sort of mating ritual beauty contest they have for men, where the unmarried men of the tribe will put makeup on their faces and line up and smile, and the women will pick their favorite painted doll bachelor from the line-up to get to know better during the festivities. It's like a Sadie Hawkins Day ball in Botswana or something. During the performance the men will dance and put on big weird grotesque smiles with wide eyes, trying to look beautiful for the ladies."", ""<P>"", ""This reminds you a bit of your composition class in your senior year of high school. The teacher required every student to keep a journal, which you were given a chance to write in at-will or occasionally you'd be given a topic to write on and time to do so in class. The journals were all stored in the back of the classroom. Most of these activities were not graded--the teacher would read the journals and make comments and sometimes start conversations with students in private based on what they had written. You enjoyed jotting your absurd thoughts and observations down. The point of the exercise was to get students in the habit of writing their thoughts and opinions down in a creative manner (which clearly worked for you), but you suspect part of it was also because she enjoyed reading all the gossip about your classmates and who was dating who."", ""<P>"", ""One day before class, one of your dirtbag friends grabbed the glitter-bedecked journal of one of the smarter girls in the classroom who also happened to be a cheerleader. She was one of the most annoyingly positive people you have ever known. You found this intrusion both inappropriate and hilarious. Your friend paged through her journal to see what kinds of deep dark secrets were hidden within this pony-sticker decorated tome. He started doing dramatic readings of the best bits he found in it, to the amusement of everyone but the cheerleader's friends. The best bit he found was an <I>extremely</I> earnest entry she had written unprompted about the importance of smiling. She went on for several paragraphs about how a smile is a gateway to making friends and putting smiles on the faces of other people--so turn that frown upside-down!"", ""<P>"", ""As funny as you found this at the time, you reflect that there are worse ways to be than someone who tries to guide rays of sunshine directly up other people's asses.""]",Time to choose something different:,I heard that the tie-breaker for this competition is a dance-off!,Being a hit with the ladies can be fun AND profitable!,"Having a great smile is one thing, but what women really love is a fast car!",136,199,23,https://en.wikipedia.org/wiki/Herdsmen_of_the_Sun,https://www.imdb.com/title/tt0098669/,NONE
83,84,Queen of the Desert,Werner Herzog,2015,128,"[""TITLE: Queen of the Desert"", ""TEXT PLACEHOLDER 084"", ""<P>"", ""This is a Werner Herzog film starring Nicole Kidman. It's a bit like Lawrence of Arabia, except it's about a woman. It's essentially a biopic of British adventurer Gertrude Bell, whose travels and diplomacy helped the British in their colonization of the Near East, which remains a paradise today thanks to their efforts."", ""<P>"", ""T.E. Lawrence actually makes an appearance in this as a character, played by Robert Pattinson in an amusingly camp manner. Still, you'd much prefer to be watching <I>The Adventures of Priscilla, Queen of the Desert</I>, which has \""kneel before Zod\"" Terence Stamp playing a trans woman together with Hugo Weaving and Guy Pearce in drag. That film is 23 minutes shorter and has far less colonization in it."", ""<P>"", ""You're not going to like this film or particularly hate it. Some films are like that. They just crash against your soul with a dull thud and leave you largely unchanged as a person. You could have spent those two hours of your life doing something different and better, but honestly you probably wouldn't have. No need to resent it. Check it off your list and move on. You are one film closer to being a Werner Herzog completist now.""]",Time to choose something different:,"Trekking through the desert is great, but haunted houses are more my speed.",I bet Count Dracula would have given her a royal welcome!,All this imperialism just makes me want to put my fist through a Union Jack.,177,16,210,https://en.wikipedia.org/wiki/Queen_of_the_Desert_(film),https://www.imdb.com/title/tt1837636/,NONE
84,85,Salt and Fire,Werner Herzog,2016,98,"[""TITLE: Salt and Fire"", ""TEXT PLACEHOLDER 085"", ""<P>"", ""This is a Herzog film with Michael Shannon as the eco-terrorist sorta bad guy antagonist, who kidnaps three scientists and strands one of them along with his two adopted native blind children at the scene of an environmental disaster to drive home the need for saving our planet. Alleged sex pest and cosmologist Lawrence Krauss also appears as a distraction in a wheelchair for most of the film."", ""<P>"", ""Let's face it. Herzog really just wanted to make a film where much of the dramatic action is set in a toxic salt flat, with bonus volcanos. It's well-meaning and Michael Shannon-ish. For better or worse, the toxic salt flat will be the star of this film. It looks to you to be a good place to race cars."", ""<P>"", ""There's an anamorphic fresco that plays a key role in this as well--one of those images that looks distorted and stretched when viewed straight-on but which appears normal when you view it from a certain angle. This reminds you of a festival in Little Italy in your city which features sidewalk artists creating quite a lot of such frescoes. Depressingly, you remember one of these frescoes in front of one of your favorite Italian delis which featured a portrait of Donald Trump while he was running for his first term for president, which appeared to be possibly commissioned by the restaurant. Cannolis from that place never tasted quite the same to you after that. The end of this film makes you fear for the future of the planet and mourn for your lost cannolis.""]",Time to choose something different:,All this ecoterrorism was a good warmup. I think I'm ready for some full-on genocide!,Actually let's back down a bit and watch some colorful parades and costumes and musicians instead.,"Sex work is probably a little safer than dealing with eco-terrorists, but not by much...",118,99,151,https://en.wikipedia.org/wiki/Salt_and_Fire,https://www.imdb.com/title/tt4441150/,NONE
85,86,Wings of Hope,Werner Herzog,1998,70,"[""TITLE: Wings of Hope"", ""TEXT PLACEHOLDER 086"", ""<P>"", ""This is another Herzog documentary about a German-Peruvian woman who was the sole survivor when her plane flight crashed in the jungle, which killed the other 91 people on the flight. They visit the crash site, finding several pieces of the plane still embedded in the jungle, then retrace the path that she took from the remote crash site to the small village where she was ultimately found and rescued. It's sort of like a civilian version of <I>Little Dieter Needs to Fly</I>, which you might recognize from Section 68."", ""<P>"", ""You feel lucky that nearly every flight you have been on has ended with all passengers surviving. The sole exception to this was a flight you took from Paris to New York. Two hours into the flight, you noticed a ruckus several seats in front of you, which appeared to be a man having some manner of medical emergency. To your amazement, the cabin crew got on the microphone and asked if there were any medical professionals on board, and requested for them to proceed to the front of the aircraft--just like in the movies. A few grim-faced individuals did so, and soon after you noticed the flight start to turn in midair on the in-flight tracker on the screen on the seat. It became obvious that your flight was not going to land on time. Minutes later the cabin crew, again trying to sound calm, asked if any passengers on board had a certain type of medication or piece of medical equipment, though they didn't sound hopeful this would be the case. Eventually they stopped working on the guy, who sat unconscious and awkwardly slumped in his seat. A few hours later the plane landed briefly in Ireland and the local airport paramedics took the stiff man off the plane as the pilot apologized for the \""medical emergency\"". No information was given about the man's condition, but from where you sat it didn't look promising for him. The rest of you landed in New York as promised, delayed but still alive and relatively healthy.""]",Time to choose something different:,I'd rather be in Paris than stranded in the jungle.,This needed more spankings.,"If you're lost in the jungle, a machete would be a pretty handy tool. But if it's in the wrong hands...",225,19,118,https://en.wikipedia.org/wiki/Wings_of_Hope_(film),https://www.imdb.com/title/tt0249248/,NONE
86,87,Wheel of Time,Werner Herzog,2003,80,"[""TITLE: Wheel of Time"", ""TEXT PLACEHOLDER 087"", ""<P>"", ""This is a Werner Herzog documentary about sand mandalas. It has a good amount of sand and some basic explanations of Tibetan Buddhism."", ""<P>"", ""You're not a Buddhist yourself, but you have had several friends who practiced their own peaceful versions of Buddhism with varying levels of violence. One of your co-workers when you drove a cab was extremely vocal about his Buddhist practices and beliefs, which was kind of hilarious considering how notorious he was for getting into fistfights with customers, one of which actually landed him in court with a disorderly conduct ticket. He claimed of course that this wasn't his fault--he was merely defending himself after arguing with some passengers about whether it was 3,000 or 30,000 people killed on 9/11. In any case he and the passengers ended up fighting in the street after he kicked them out of his cab, with one woman screaming at him repeatedly \""You're not a real American! You're not a real American!\"" You would concede that he may not have thrown the first punch in most of his violent encounters, but you were familiar enough with his behavior to know that he likely instigated the fight and that he was notoriously unable to de-escalate such conflicts."", ""<P>"", ""Another friend of your girlfriend at the time one day shaved her head and started wearing robes and declared that she was in training to become a Buddhist nun, professing her beliefs at every opportunity. You found it a bit hilarious that this woman still owned and wore a wristwatch and you did not.""]",Time to choose something different:,This seems like something spiritual enough to inspire someone to pursue a life of adventurous travel!,"Life is suffering, and the pleasures of the moment can lead to pain, and so the cycle continues...","Less Buddha, more Bushido please!",96,200,27,https://en.wikipedia.org/wiki/Wheel_of_Time_(film),https://www.imdb.com/title/tt0331080/,NONE
87,88,"Lo and Behold, Reveries of the Connected World",Werner Herzog,2016,98,"[""TITLE: Lo and Behold, Reveries of the Connected World"", ""TEXT PLACEHOLDER 088"", ""<P>"", ""This is going to officially be your least favorite Werner Herzog documentary. It was shot in 2016 and it aged like milk. Behold, as Herzog interviews a parade of tech bro geniuses such as Elon Musk about a future full of self-driving cars and trips to Mars and how different the world is now that social media has made us all <I>hyperconnected</I>."", ""<P>"", ""To Herzog's credit, he includes plenty of the dark side as well. He interviews a family whose daughter was killed in a car accident. The crash scene photos including their daughter's corpse were soon leaked to the Internet and went viral, which naturally led to a lot of people harassing the family."", ""<P>"", ""You're no stranger to consuming such content yourself, of course. You've seen plenty of gore on the Internet that was probably not good for your soul. You're remarkably squeamish when it comes to watching actual medical procedures, but sadly desensitized to a lot of things that happen in the wild. You've been spared the worst of encountering terrifying gore in the streets, but you've seen a lot of things in person you'd prefer not having any memory of."", ""<P>"", ""It's hard to explain the draw of deliberately exposing yourself to such awful things. Part of it seems to be that it's important to desensitize yourself to this to lower the shock value a bit in case you need to act quickly in an emergency. If someone is shot or stabbed in front of you, it would be best if you're not so busy recoiling in horror that you fail to get to safety. It also seems important to actually see what such carnage looks like before you start flippantly mocking it or dismissing it."", ""<P>"", ""You narrowly missed having a front seat for such carnage when you were in middle school. One Valentine's Day you stood waiting at the bus stop for your bus, which never showed up. You were baffled and very worried about being late for school through no fault of your own, not confident that you wouldn't be punished anyway for this. Finally a bus showed up half an hour late with a different driver, and you found out why. Your bus route was actually your driver's second route of the day. On her first route, she picked up some of the children who lived farther out of town and dropped them off before picking up kids like you who lived nearer to each other and didn't have as far to go. When she was dropping off her first set of kids, one of the elementary school kids ran back around the bus to give the driver a valentine card with some candy. She didn't see him and she struck him and ran over his head, which sent blood and brains and skull fragments flying in front of your horrified classmates. Several of your friends got to witness this first-hand. You were amazed at how shaken they were, and they did not tolerate any of the latecomers who thought it would be funny to make light of. You remember several fights nearly breaking out during the course of the day over callous comments about the event by those who had not been there. It sent a shiver down your spine."", ""<P>"", ""You also recall the time when you were driving a taxi and one of your friends and fellow drivers struck a drunk pedestrian, who wandered into traffic. The young man broke the windshield of the cab with his face. Your friend initially thought he had killed the man, who lay limp in the street in a pool of blood and dislodged teeth. Your friend was obviously terrified that he was going to be blamed for the accident and lose his license or be charged with a serious crime (thankfully he wasn't). You were unnerved by how completely shaken he was by this since this friend was one of the most outwardly callous people you know. For months after the event he had nightmares every night and dealt with the stress by drinking extremely heavily to the point where it was difficult to be around him. Eventually he settled back down to a more \""normal\"" amount of heavy drinking and rarely brought up the event, and for better or worse you never asked him about how it affected him in the long term. ""]",Time to choose something different:,Got anything with a longer title?,Modern technology all just seems like witchcraft to me!,"No actual Tenenbaums were interviewed for this documentary, but some of those interviewees had reputations that aged like milk.",105,39,184,"https://en.wikipedia.org/wiki/Lo_and_Behold,_Reveries_of_the_Connected_World",https://www.imdb.com/title/tt5275828/,NONE
88,89,Ballad of the Little Soldier,Werner Herzog,1984,46,"[""TITLE: Ballad of the Little Soldier"", ""TEXT PLACEHOLDER 089"", ""<P>"", ""This is a Werner Herzog documentary about child soldiers. This documentary was made long enough ago that some of these soldiers are probably adult soldiers by now and possibly even retired from their military careers and collecting their pensions."", ""<P>"", ""As a progressive American, you are generally against children serving in the military, and certainly in a front-line capacity in combat roles. Films like <I>Red Dawn</I> make this look more glamorous than it probably is in real life. It's difficult to imagine any of these children being very disciplined, no matter how many Dr. Phil style boot camps they've attended. Some of them look like they might have some hustle, but the majority just look like oblivious children that someone handed a rifle to and gave rudimentary training to. At most they might be good for guarding Little Dieter and his friends or other low-stakes tasks that aren't likely to put them up against anyone else not suffering the effects of similar human rights abuses. And even in that case they should probably leave the actual interrogations to the grown-ups."", ""<P>"", ""When you were a child and <I>Commando</I> was freshly on the screens of every local theater, you remember being in the machine gun isle of the toy section at the local department store. You were picking up one of the plastic machine guns with their red-lensed night scopes and their fully automatic rat-a-tat action, examining all the cool functionality. An older lady standing nearby looked scornfully at you and your mother and tut-tutted, \""How dreadful, teaching kids how to maim and kill.\"" She sneered at your mother as if she were Kissinger himself. Your mother grew indignant and seized the machine gun out of your hands, defiantly marching up to the cash register to buy it for you on the spot, much to your amazement. Normally such a toy would be a special Christmas request if you asked for it at all...""]",Time to choose something different:,"Those kids were pretty young, but the Army can be a pretty grand adventure if you're old enough to enjoy it and bring back souvenirs!",Bet Hitchcock could have made a pretty suspenseful film about child soldiers...,"Kids should be learning to play musical instruments at that age, not shooting rifles!",212,150,232,https://en.wikipedia.org/wiki/Ballad_of_the_Little_Soldier,https://www.imdb.com/title/tt0086936/,NONE
89,90,Encounters at the End of the World,Werner Herzog,2007,99,"[""TITLE: Encounters at the End of the World"", ""TEXT PLACEHOLDER 090"", ""<P>"", ""This is the Herzog documentary with the notorious suicidal penguin, who goes berserk and just starts charging away from the herd inland to his certain doom. Apparently they do that sometimes, which other nature documentaries usually aren't able to capture or willing to show. It's sort of the opposite of the infamous lemmings documentary, in which Disney gave the poor rodents a helping hand and herded them over a cliff to illustrate an urban legend about them that is generally contrary to their nature."", ""<P>"", ""The closest to such a marvel you've experienced was only second-hand. When you lived in Milwaukee, your now-deceased wife and your upstairs neighbor witnessed an act of squirrel infanticide which, deliberate or not, they found very haunting. One of the squirrels that inhabited your attic apparently decided that downtown Milwaukee was no place to raise a baby squirrel and proceeded to put her progeny out of their misery before they even got a start. When it was time to give birth, she situated herself with her rump and bushy tail sticking out of the hole in the attic through which she had infiltrated. Before long it was raining infant squirrels onto the pavement leading to your front steps. They did not survive the fall. Mercifully, it seemed that they were dead on impact, but your wife was forced to clean up the mess while your upstairs neighbor cried."", ""<P>"", ""You did however make another unpleasant zoological discovery when your uncle kept pet hamsters at your grandmother's house. The two male hamsters he had purchased turned out to be gay, as you discovered when one of the hamster would pose himself before the other hamster submissively with his tail up and the other hamster would mount him from behind. Your uncle would pound on the hard plastic of the hamster container to try to discourage this behavior, as if trying to fix the signal on an old television. It was not in their nature to be discouraged. Not long after, one of the male hamsters gave birth to a litter of little hamsters, which seemed to be a minor miracle. This cycle happened a few times, and the hamsterrarium was soon filled with blind and naked little beasts meandering their ways around the little tunnels and tubes and burrowing under the sweet-smelling wood shavings."", ""<P>"", ""You tried to get a population count of the hamster colony, but could never get the numbers to agree. The population leveled off but then began decreasing, to your grandmother's dismay. Clearly hamsters were escaping the enclosure and raiding her pantry, as the rodent droppings she was finding interspersed amongst her canned goods proved. At least that was the prevalent theory until you made the gruesome discovery of half a baby hamster nestled under a pile of wood shavings. The other half had clearly escaped inside the stomach of one of the larger hamsters. Despite this occurrence, which you tearfully explained to the adults, your grandmother still blamed any gnawed bags of flour and rodent droppings in her pantry on the hamster escapees, grumbling about your uncle's carelessness in keeping the hamster tank secure.""]",Time to choose something different:,Antarctica would be even cooler with sand-worms...,Being trapped in a POW camp in Antarctica would be awful. Southeast Asia would be bad enough!,Gambling would be a pretty good way to waste time when faced with those cold endless nights!,120,69,157,https://en.wikipedia.org/wiki/Encounters_at_the_End_of_the_World,https://www.imdb.com/title/tt1093824/,https://tvtropes.org/pmwiki/pmwiki.php/Film/EncountersAtTheEndOfTheWorld
90,91,The Flying Doctors of East Africa,Werner Herzog,1969,45,"[""TITLE: The Flying Doctors of East Africa"", ""TEXT PLACEHOLDER 091"", ""<P>"", ""This Werner Herzog documentary sounds much cooler than it actually is."", ""<P>"", ""The doctors use planes to fly. Nothing marvelous about that."", ""<P>"", ""It's time to move on to something different.""]",Time to choose something different:,"Those doctors are lucky to get a Herzog documentary immortalizing them, but a Bob Dylan song would have been even better!",What's the point of flying around like that if you're not even going to do any crimes?,Bet they see some interesting parasites in that part of the world! But things can be just as bad in Canada...,25,193,9,https://en.wikipedia.org/wiki/The_Flying_Doctors_of_East_Africa,https://www.imdb.com/title/tt0064334/,NONE
91,92,How Much Wood Would a Woodchuck Chuck,Werner Herzog,1976,44,"[""TITLE: How Much Wood Would a Woodchuck Chuck"", ""TEXT PLACEHOLDER 092"", ""<P>"", ""This is a Werner Herzog documentary about auctioneers at some sort of auctioneer competition."", ""<P>"", ""Unlike your uncle, who attended them compulsively and made a lot of money wheeling and dealing at them, you are generally not a fan of auctions. You stay away from them, whether online or in-person."", ""<P>"", ""You did briefly date a young woman whose father was an auctioneer. She was responsible for several of the worst dates you've ever been on, which is saying a lot. Her name was Bobbie, but your roommate at the time, who came up with nicknames for all the women you dated so he could name his fish after them, always referred to her as Spaz #2. Spaz #1 (who was initially just Spaz, just like WWI used to be The Great War) was responsible for several other worst dates you've ever been on, but her story won't be told here."", ""<P>"", ""Spaz #1 was quite attractive. She was a petite girl with short blonde hair in a pixie cut. Somehow she listened to Firehose, which you found intriguing. However it was all downhill from there. On your first date you went on a rather uneventful date to the Olive Garden she lived across the street from since neither of you had a car. Over dinner she told you several mundane facts about her life. She told you about her father, the auctioneer. She told you about her housemates, one of whom was a student at the technical college and another who was some manner of muffler mechanic. She told you that she and her female roommate were currently pet-sitting for a friend's chinchilla, which was staying at their apartment despite the fact that they aren't allowed to have pets, but you should not mention this fact to her male muffler-mechanic roommate since he would be upset since their lease has a \""no pets\"" clause."", ""<P>"", ""After you finished your tiramisus, you walked her home across the busy highway and back to her apartment, and things looked slightly promising for the rest of the evening. However, upon entering your apartment, you found her other two roommates having a loud argument about the chinchilla, who was in a small cheap cage on the table. The muffler mechanic, who looked like the world's angriest muffler mechanic, was screaming at her other roommate, another petite girl in her twenties, telling her she had to get rid of the chinchilla immediately. Spaz #2 and the other roommate pleaded with him to calm down, but he declared if they didn't do something about the chinchilla, he would. To your horror, he seized the cage and stormed out of the apartment, leaving you with the two crying girls."", ""<P>"", ""There was discussion about whether he was going to take it to the house of one of his friends or, worse, if he was going to release it into the woods. You held out hope that he would simply come back in the house with the chinchilla still in the cage, having made his point. Eventually he returned, empty-handed. When asked what he had done, he informed the young women that he had driven the rodent out to a wooded area a short distance away and beaten it to death with a shovel."", ""<P>"", ""That was your cue to leave. You headed out the door and rode back home on the bus, horrified at how the evening had gone. You never even got to find how many chins a chinchilla could chill.""]",Time to choose something different:,Bet the thin air would make it hard being a high-altitude auctioneer!,"Chucking wood is great exercise, actually. A lot more fun than hauling rocks!",I hate when people read poetry too fast. No need to rush...,95,236,146,https://en.wikipedia.org/wiki/How_Much_Wood_Would_a_Woodchuck_Chuck_(film),https://www.imdb.com/title/tt0074650/,NONE
92,93,Handicapped Future,Werner Herzog,1971,43,"[""TITLE: Handicapped Future"", ""TEXT PLACEHOLDER 093"", ""<P>"", ""This is a very early Werner Herzog documentary, about people with disabilities. In particular, many of the people featured had missing or deformed limbs due to their mothers taking Thalidomide while they were pregnant."", ""<P>"", ""The first girl you ever kissed had a mangled claw of a hand with a misplaced thumb and ungrown fingers. You didn't notice this until after she kissed you. She was a year or two behind you in school, and you had rarely if ever crossed paths. Your school was large enough for this to be possible, and you ran in very different circles. You were in the reference room of the public library and she took an interest in what you were doing. She was asking you questions about it and she suddenly lunged for you and plunged her tongue into your mouth mid-explanation. After taking a breath, you both went back for seconds, and in your mutual groping you quickly discovered the external parts of her that were missing. This didn't discourage you much at the time. She gave you her phone number but not much came of it. When you tried to use it, her father answered the phone and informed you to stay the fuck away from his daughter or he was going to kill you. And that was that. It didn't seem worth testing this threat."", ""<P>"", ""A year or two later, when you had a steady girlfriend, she ended up sitting next to you in your French class. You hadn't spoken in the interim, and during that time she had earned a rather bad reputation. After a few weeks of playing dumb, one day she walked in and looked over and laughed and declared, \""HEY I REMEMBER YOU!\"" You smiled and nodded and tried to avoid the awkwardness, which she seemed to respect.""]",Time to choose something different:,"Too bad those kids aren't in some soap opera universe, where even decapitations can be overcome and brain transplants can be performed in restaurants!",This is some bleak-ass Herzog. I need something different. Play me some Dylan instead.,Actually I'm not done being depressed. Show me how bad nuns used to have it!,241,25,176,https://en.wikipedia.org/wiki/Handicapped_Future,https://www.imdb.com/title/tt0066820/,NONE
93,94,Huie's Sermon,Werner Herzog,1981,40,"[""TITLE: Huie's Sermon"", ""TEXT PLACEHOLDER 094"", ""<P>"", ""This is a Werner Herzog documentary which consists mostly of footage of a sermon by a pastor in a primarily African-American church in Brooklyn. It looks little like most of the church services you have ever attended. Most of the services you have attended in your life have been either Catholic or Orthodox masses, depending on who you were dating at the time and usually connected to weddings or funerals, parental visits, or major holidays. You were personally raised atheist/agnostic. You would tell most people you were agnostic since atheist was such a Bad Word around where you grew up, and you caught enough flak just not belonging to any church at all."", ""<P>"", ""Being around religious people was always a little unnerving for you. Their religion ostensibly taught them to be \""good\"" people, but on the other hand it also sometimes taught them that people like you were heathens and unbelievers and this status made it okay for them to fuck with you. It wasn't even so much about whether you believed or not; the mere fact of belonging to some out-group made you fair game. You were not one of God's \""made men\"", and people were always ready to make sure you knew it."", ""<P>"", ""William S. Burroughs said it best: \""If you are doing business with a religious son-of-a-bitch, get it in writing. His word isn't worth shit, not with the good Lord telling him how to fuck you on the deal!\""""]",Time to choose something different:,"If you pray hard enough, you'll never need an umbrella to stay safe and dry!",I bet Huie would have plenty to say about bad parenting...,"Thoughts and prayers are great, but having actual doctors show up to help people is even better.",144,147,91,https://en.wikipedia.org/wiki/Huie%27s_Sermon,https://www.imdb.com/title/tt0080900/,NONE
